source_file,line_number,target_url,link_type,classification,shopify_status,redirect_target_if_any,recommended_action,context
theme/templates/collection.seating.json,10,/collections/task-chairs,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/task-chairs"","
theme/templates/collection.quiet-spaces.json,10,/collections/telephone-booths,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/telephone-booths"","
theme/templates/collection.desks.json,66,/collections/training-desks,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/training-desks"","
theme/templates/collection.tables.json,18,/collections/training-room-tables,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/training-room-tables"","
theme/templates/collection.storage.json,18,/collections/vertical-file-cabinets-storage,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/vertical-file-cabinets-storage"","
theme/templates/collection.storage.json,82,/collections/wall-storage,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/wall-storage"","
theme/templates/collection.storage.json,66,/collections/wardrobe-storage,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/wardrobe-storage"","
theme/templates/collection.accessories.json,18,/collections/white-board,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/white-board"","
theme/snippets/bbi-nav.liquid,586,/pages/about,page,HEALTHY,EXISTS | published=True,,None,"<li role=""none""><a class=""bbi-nav__dd-link"" href=""/pages/about"" role=""menuitem"">About Us</a></li>"
theme/snippets/bbi-nav.liquid,781,/pages/about,page,HEALTHY,EXISTS | published=True,,None,"<li><a href=""/pages/about"">About Us</a></li>"
theme/sections/ds-cc-base.liquid,609,/pages/brands,page,HEALTHY,EXISTS | published=True,,None,"<a class=""ds-cc__brands-band-link"" href=""/pages/brands"">View all brands <span aria-hidden=""true"">&ra"
theme/snippets/bbi-nav.liquid,550,/pages/brands,page,HEALTHY,EXISTS | published=True,,None,"<li role=""none""><a class=""bbi-nav__dd-link"" href=""/pages/brands"" role=""menuitem"">Brands Hub</a></li>"
theme/snippets/bbi-nav.liquid,749,/pages/brands,page,HEALTHY,EXISTS | published=True,,None,"<li><a href=""/pages/brands"">Brands Hub</a></li>"
theme/sections/ds-lp-brands.liquid,273,/pages/brands-ergocentric,page,HEALTHY,EXISTS | published=True,,None,"<a href=""/pages/brands-ergocentric"" class=""lp-brand-tile"">"
